player_id,o_rapm,d_rapm,net_rapm,possessions,end_season,start_season,stint_years
2045,-0.24596016392246758,0.17745584319183302,-0.4234160071143006,8522.599999999968,2013,2011,2011-2013
2047,-3.223673866536063,-1.0356181987903745,-2.1880556677456884,3317.499999999997,2013,2011,2011-2013
2048,1.1784475513184818,-1.7886649020489063,2.9671124533673883,1381.4000000000012,2013,2011,2011-2013
2052,-1.1020708852929362,0.28881185663060804,-1.3908827419235443,8242.09999999997,2013,2011,2011-2013
2059,-0.45709820959361674,-0.17259056964380934,-0.28450763994980743,1048.6000000000008,2013,2011,2011-2013
2072,-1.057810001620117,3.4849056517934986,-4.542715653413616,3040.3999999999965,2013,2011,2011-2013
2073,-2.2472550493929004,-0.9403490302593914,-1.3069060191335091,1106.0000000000014,2013,2011,2011-2013
2198,-3.6918933152770954,-0.639085374839087,-3.0528079404380084,1747.7000000000016,2013,2011,2011-2013
2199,-0.24792177822077188,-0.8109368355522331,0.5630150573314612,22717.60000000026,2013,2011,2011-2013
2200,0.10598786814864565,0.7568013501982885,-0.6508134820496428,23872.300000000287,2013,2011,2011-2013
2202,0.8891207169481253,0.26626796774178657,0.6228527492063387,9600.699999999993,2013,2011,2011-2013
2203,-0.49683255647703284,-0.6746733485515605,0.17784079207452763,18299.90000000017,2013,2011,2011-2013
2205,-3.3681699840001365,-1.5998656972191296,-1.7683042867810068,2150.9000000000033,2013,2011,2011-2013
