name,season,o_rapm,d_rapm,total_rapm,games,o_rapm_projected,d_rapm_projected,total_rapm_projected
Georges Niang,2024,-0.49028224085937,1.75777212838615,-2.24805436924552,28,0.1871880699187759,1.0425595498474105,-0.8553714799286346
Georges Niang,2024,-0.49028224085937,1.75777212838615,-2.24805436924552,28,0.1871880699187759,1.0425595498474105,-0.8553714799286346
Georges Niang,2024,-0.49028224085937,1.75777212838615,-2.24805436924552,51,0.1871880699187759,1.0425595498474105,-0.8553714799286346
Georges Niang,2024,-0.49028224085937,1.75777212838615,-2.24805436924552,51,0.1871880699187759,1.0425595498474105,-0.8553714799286346
Deandre Ayton,2024,-0.46430042031434,0.16070618720989,-0.62500660752423,40,-0.162893622680191,0.9695650138561578,-1.1324586365363487
Paul Reed,2024,1.43726646691735,0.93288527114682,0.50438119577053,38,0.5807174858056875,1.3330265618466215,-0.752309076040934
Markelle Fultz,2024,-0.97690572640921,0.43074580917954,-1.40765153558875,19,-0.7151852040336368,0.4393475357226338,-1.1545327397562706
Kyle Lowry,2024,-0.15957942084003,-1.03923831766932,0.87965889682929,35,0.952029264167057,-1.0226461786071233,1.9746754427741804
Ayo Dosunmu,2024,-3.39443802728037,0.53699463283381,-3.93143266011418,46,-3.043251655717471,0.4849997557174397,-3.528251411434911
David Roddy,2024,-1.8830954049109097,1.91503251766566,-3.79812792257657,23,-1.402292753977627,1.7740802413953232,-3.17637299537295
Grant Williams,2024,-0.83690228616489,1.66373152012634,-2.50063380629123,16,-0.693890515794403,0.5083526551997276,-1.2022431709941306
Maxi Kleber,2024,-1.7383520447673302,-1.10254154829679,-0.6358104964705402,34,-1.4006019665493974,-1.3662922957637924,-0.034309670785604984
Myles Turner,2024,2.8599750093183203,-1.32959574076275,4.189570750081071,72,0.6730685820791948,-1.454554179724386,2.127622761803581
Marcus Smart,2024,0.59398333754358,-0.8000355039627199,1.3940188415063,19,0.2888846979430019,-0.6935192624940173,0.9824039604370192
Marcus Smart,2024,0.59398333754358,-0.8000355039627199,1.3940188415063,19,0.2888846979430019,-0.6935192624940173,0.9824039604370192
Marcus Smart,2024,0.59398333754358,-0.8000355039627199,1.3940188415063,15,0.2888846979430019,-0.6935192624940173,0.9824039604370192
Marcus Smart,2024,0.59398333754358,-0.8000355039627199,1.3940188415063,15,0.2888846979430019,-0.6935192624940173,0.9824039604370192
Joe Ingles,2024,1.61089292166379,-0.2649355742661199,1.8758284959299096,18,0.8629229341647205,-0.8700279316949279,1.7329508658596484
Jaden Springer,2024,-0.1964277062726599,0.87995588372766,-1.07638359000032,17,-0.1772119783326629,0.6637697194274351,-0.840981697760098
Larry Nance Jr.,2024,0.24356436418304,-1.32062884192004,1.56419320610308,24,-1.166777157823743,-1.6295671071708204,0.4627899493470775
Brandon Ingram,2024,1.05714953191543,-0.18023197145891,1.23738150337434,18,0.9666821707514872,0.7169163537074407,0.24976581704404655
Richaun Holmes,2024,-3.1994097494766995,1.30892608364328,-4.508335833119979,27,-0.9219737265955348,0.4262476052667189,-1.3482213318622538
Drew Peterson,2024,-0.5471163634880001,0.64261468267551,-1.18973104616351,17,-0.5471163634880001,0.64261468267551,-1.18973104616351
Ochai Agbaji,2024,0.81061650285313,0.79210323668068,0.01851326617245,64,1.3101668213928106,0.9190965889583947,0.39107023243441585
DaQuan Jeffries,2024,-1.32867253881578,0.2040583308493,-1.53273086966508,46,-1.1666654319748346,0.3097393288868622,-1.4764047608616968
Jeremy Sochan,2024,-0.6402260785985601,1.8799350331862,-2.52016111178476,54,-0.2335834742308837,2.006774000684734,-2.240357474915618
Immanuel Quickley,2024,-0.54220870295384,-3.59587493595639,3.05366623300255,33,0.4248708962962541,-2.8654993038003864,3.2903702000966404
Tre Mann,2024,-1.5376300024515102,0.86073950981573,-2.39836951226724,13,-1.3810420763134084,1.374006885610495,-2.7550489619239036
