player_name,base_year,predicted,actual,residual
Reggie Jackson,2022,0.3084210770621399,-1.1628387509869818,-1.4712598280491216
Cory Joseph,2022,-0.4617970641441472,-0.0083359770498382,0.453461087094309
Jimmy Butler,2022,1.1348277994657276,1.5143197179870214,0.3794919185212937
Bojan Bogdanovic,2022,1.0653954302082866,-2.046971843412224,-3.112367273620511
Davis Bertans,2022,1.2668790437895867,-0.3196432464490073,-1.586522290238594
Brad Wanamaker,2022,-1.170309792521777,-1.5615230468900525,-0.3912132543682756
Anthony Davis,2022,1.3103376042634196,2.064083075628913,0.7537454713654934
Bradley Beal,2022,1.1049769432908758,-0.7883171215591245,-1.8932940648500003
Damian Lillard,2022,1.6112260673200438,2.8705075671927207,1.259281499872677
Terrence Ross,2022,-1.2118640732468704,-1.926269160494663,-0.7144050872477925
Andre Drummond,2022,0.39421711594567455,0.2881457380568561,-0.10607137788881843
