name,season,o_rapm,d_rapm,total_rapm,games,poss
Abdel Nader,2020,-3.5962388057999997,2.1572599606174503,-5.75349876641745,20,1788
Abdel Nader,2021,-4.01093879581087,0.30512290298914996,-4.31606169880002,14,738
Admiral Schofield,2022,-2.43592997091374,2.40888241629767,-4.84481238721141,33,957
Adreian Payne,2015,-1.64634767476447,3.60651909446874,-5.25286676923321,50,1417
Al Horford,2014,0.33333902389392,0.21701291379475,0.11632611009917002,76,1900
Al Horford,2015,0.78831963158247,-0.51760322574661,1.30592285732908,82,4503
Al Horford,2016,-0.28720672695207,-1.90922538448867,1.6220186575366,68,5319
Al Horford,2017,0.155271002261,-0.8490615393474401,1.00433254160844,72,4393
Al Horford,2018,1.0919625070144399,-1.5625276312710799,2.65449013828552,68,4306
Al Horford,2019,3.1879064983779,-0.92000011170841,4.10790661008631,67,4054
Al Horford,2020,1.94127536956426,-1.7763152061682501,3.71759057573251,28,4163
Al Horford,2021,0.5044687342210901,-1.6155252803055,2.11999401452659,69,1599
Al Horford,2022,0.33046980098663,-1.74177500314893,2.07224480413556,63,3945
Al Horford,2023,-0.2042295321745,-1.73619030340028,1.53196077122578,65,3929
Al Horford,2024,1.0797309859865,-1.00093004459166,2.08066103057816,60,3439
Al Jefferson,2014,1.87627533237489,1.08717899340247,0.7890963389724199,65,4826
Al Jefferson,2015,0.26543415542221,1.31777268862896,-1.05233853320675,47,3845
Al Jefferson,2016,-1.54516057457223,0.11719792336312,-1.66235849793535,66,2164
Al Jefferson,2017,-3.02457142455683,0.26858333709196996,-3.2931547616488,35,1802
Al-Farouq Aminu,2014,-1.12267814655579,-0.65446519710204,-0.46821294945375,73,3896
Al-Farouq Aminu,2015,-0.50025113288194,-0.51556122851988,0.015310095637939947,82,2693
Al-Farouq Aminu,2016,0.5048002093821901,-1.2264615249023199,1.73126173428451,61,4716
Al-Farouq Aminu,2017,0.62365944380372,-2.74997669523798,3.3736361390417,69,3520
Al-Farouq Aminu,2018,-0.40078459604186,-1.82642606540777,1.4256414693659099,81,4169
Al-Farouq Aminu,2019,0.83624075630425,-1.21364879705682,2.04988955336107,18,4745
Al-Farouq Aminu,2020,-0.4268041432641,-0.9901147666642801,0.5633106234001801,17,775
Alan Anderson,2014,-0.8203366253850499,1.18611995244846,-2.00645657783351,74,3297
