def_player_id,season,poss_vs_elite_scorers,pts_allowed_vs_elite,n_elite_scorers_guarded,avg_opp_orapm,pts_vs_expected_elite,pts_per_100_vs_elite_scorers,player_id,name
2772,2020,319.32,71,8,2.893319215946932,-0.9001944208488639,22.23474884128774,2772,Trevor Ariza
2772,2021,131.03,31,6,3.204029470531533,-0.9021552714123944,23.65870411356178,2772,Trevor Ariza
2772,2022,21.1,5,1,2.25248173659747,-0.885557992721425,23.696682464454973,2772,Trevor Ariza
101107,2018,75.1,9,2,2.7990344186598866,-1.0172542096812798,11.984021304926763,101107,Marvin Williams
101107,2019,124.74,40,3,3.05434611495164,-0.8269883733840565,32.0666987333654,101107,Marvin Williams
101108,2018,27.09,2,1,1.78148990243221,-1.043986918219597,7.3827980804725,101108,Chris Paul
101108,2021,47.120000000000005,7,1,3.5027876371399,-0.9835281746062636,14.855687606112053,101108,Chris Paul
101108,2022,221.0,17,5,2.482900957262755,-1.0419458467986926,7.6923076923076925,101108,Chris Paul
101108,2023,311.4,42,9,2.04488959971678,-0.9898795242522748,13.48747591522158,101108,Chris Paul
101108,2024,68.3,6,2,1.7724414037860663,-1.029358449028822,8.784773060029282,101108,Chris Paul
101127,2018,228.0,40,7,3.773174273070336,-0.971076953957023,17.543859649122805,101127,Jarrett Jack
101141,2018,53.260000000000005,19,2,3.349259004881855,-0.7707233377749454,35.674051821254224,101141,Ersan Ilyasova
101150,2018,47.38,0,1,1.64251199290131,-1.1164251199290132,0.0,101150,Lou Williams
101162,2018,132.28,84,4,3.3912134410171557,-0.4993141126338953,63.501663138796495,101162,Marcin Gortat
101162,2019,22.28,5,1,2.97346877688679,-0.9053181707132129,22.44165170556553,101162,Marcin Gortat
101181,2018,44.27,10,2,3.2642513469690746,-0.9119604818127248,22.5886604924328,101181,Jose Calderon
200746,2018,131.21,31,3,4.3674380622759,-0.9262077185302336,23.62624799939029,200746,LaMarcus Aldridge
200746,2019,279.27,77,8,2.897177629092506,-0.8532700496533615,27.571883840011463,200746,LaMarcus Aldridge
200746,2020,377.24,88,10,2.0803555416341637,-0.8755740179917518,23.327324779980916,200746,LaMarcus Aldridge
200746,2021,72.73,32,3,3.1663657504326035,-0.7051383326509398,43.99835006187268,200746,LaMarcus Aldridge
200746,2022,83.1,32,2,3.50997003226402,-0.7427669492721707,38.50782190132371,200746,LaMarcus Aldridge
200752,2019,20.34,9,1,6.44533833952901,-0.7219755072890954,44.24778761061947,200752,Rudy Gay
200752,2022,29.8,7,1,4.7870091835398805,-0.9129707629763386,23.48993288590604,200752,Rudy Gay
200752,2023,20.5,4,1,2.8674632080092,-0.93355268086058,19.51219512195122,200752,Rudy Gay
200755,2018,52.72,14,2,1.74523506528445,-0.8510155127996841,26.555386949924127,200755,JJ Redick
200755,2019,21.52,3,1,1.90589476060255,-0.9796537431450588,13.940520446096654,200755,JJ Redick
200755,2020,20.24,4,1,3.0204334878557297,-0.9325758763805336,19.76284584980237,200755,JJ Redick
200757,2018,54.03,14,2,6.372608974983105,-0.9232455387708394,25.91153063113085,200757,Thabo Sefolosha
200765,2018,95.14,13,3,5.234090110377712,-1.0213720254069054,13.664073996216104,200765,Rajon Rondo
200765,2019,117.75,26,5,3.413501010164888,-0.9109424233854472,22.08067940552017,200765,Rajon Rondo
200765,2022,27.4,5,1,1.99504639261463,-0.9374687121013288,18.248175182481752,200765,Rajon Rondo
200768,2018,89.14,27,2,2.11035865640237,-0.8141558635346089,30.289432353601075,200768,Kyle Lowry
200768,2019,25.7,10,1,3.65050186896548,-0.7473999603238961,38.91050583657588,200768,Kyle Lowry
200768,2020,31.64,3,1,2.80700507603968,-1.0332533630233551,9.481668773704172,200768,Kyle Lowry
200768,2021,23.42,0,1,3.5027876371399,-1.135027876371399,0.0,200768,Kyle Lowry
200768,2022,190.5,38,5,2.4022357893803523,-0.9240100989069208,19.94750656167979,200768,Kyle Lowry
200768,2023,61.900000000000006,19,3,2.59157456224396,-0.8190189915592505,30.694668820678512,200768,Kyle Lowry
200768,2024,140.6,38,4,3.442671538738538,-0.8591184995126101,27.027027027027028,200768,Kyle Lowry
