name,season,o_rapm,d_rapm,total_rapm,games
Kyle Lowry,2018,4.74701279150594,-2.10259774277116,6.849610534277099,65
Nikola Jokic,2018,4.78546105925527,-1.38081286998338,6.16627392923865,80
Draymond Green,2018,1.6781954066519202,-4.33400207677355,6.012197483425471,66
Rudy Gobert,2018,0.96173797637311,-4.5041214222750705,5.46585939864818,81
Mike Conley,2018,3.35975656012443,-1.49581085813476,4.85556741825919,70
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,55
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,10
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,10
Jimmy Butler,2018,1.43686357945263,-3.3483218331506603,4.7851854126032904,10
Stephen Curry,2019,7.95475396768304,-0.87513713808964,8.82989110577268,5
Kyle Lowry,2019,5.21464220558092,-2.20961778406305,7.42425998964397,58
Joel Embiid,2019,2.97346877688679,-4.09468818725994,7.06815696414673,51
Chris Paul,2019,3.6805640990419803,-3.02810109419403,6.70866519323601,70
LeBron James,2019,6.44533833952901,0.09445726957415,6.35088106995486,67
Nikola Jokic,2019,4.94466636502427,-1.14972545503036,6.09439182005463,73
Jimmy Butler,2019,2.47049304086587,-3.3063098401453397,5.77680288101121,58
Jrue Holiday,2019,2.19280664038721,-3.11032162941701,5.30312826980422,61
Kemba Walker,2019,5.38599863717186,0.18085362793972998,5.20514500923213,56
Giannis Antetokounmpo,2019,1.432397540984,-3.5178105198767,4.9502080608606995,63
Raul Neto,2019,1.6662986887874098,-3.07465271430354,4.74095140309095,49
James Harden,2019,5.50130067772976,0.82411626736472,4.67718441036504,68
Mike Conley,2019,3.58123565283458,-1.0872895137821799,4.66852516661676,47
Rudy Gobert,2019,0.67008077058479,-3.99441508030559,4.66449585089038,68
Kawhi Leonard,2019,4.29759881680142,-0.29542339143404,4.59302220823546,57
Paul George,2019,2.25553328452801,-2.31265935739839,4.5681926419264,48
Draymond Green,2019,0.32448168945565,-3.90318433581348,4.22766602526913,43
Al Horford,2019,3.1879064983779,-0.92000011170841,4.10790661008631,67
Damian Lillard,2019,3.65050186896548,-0.38314080789331,4.03364267685879,66
Fred VanVleet,2019,1.86136825773478,-2.1426950818430104,4.00406333957779,54
Stephen Curry,2020,6.26978309696847,-0.56766112174686,6.83744421871533,63
LeBron James,2020,4.85246252452895,-1.8207908415996,6.6732533661285505,45
Giannis Antetokounmpo,2020,1.73226291023046,-4.81344976048199,6.54571267071245,61
Joel Embiid,2020,1.72039288258708,-4.70270062490726,6.4230935074943405,51
Jimmy Butler,2020,3.7063218567840104,-2.3563537498318,6.0626756066158105,52
Paul George,2020,2.94424366480859,-3.1000581128498803,6.04430177765847,54
Chris Paul,2020,3.4803482255153604,-2.33569731417727,5.816045539692631,70
Damian Lillard,2020,4.56221925963338,-0.8258929920959,5.3881122517292805,67
Jayson Tatum,2020,2.25415467419143,-3.1097685654276197,5.36392323961905,64
Jrue Holiday,2020,3.05826046226688,-2.1937563527358,5.25201681500268,59
James Harden,2020,4.82984036012242,0.10639362284076001,4.72344673728166,8
James Harden,2020,4.82984036012242,0.10639362284076001,4.72344673728166,8
James Harden,2020,4.82984036012242,0.10639362284076001,4.72344673728166,36
James Harden,2020,4.82984036012242,0.10639362284076001,4.72344673728166,36
Kyle Lowry,2020,2.5858221567943698,-1.73903894094195,4.32486109773632,46
Alex Caruso,2020,0.25108981534941,-3.9918065552376896,4.2428963705871,58
Victor Oladipo,2020,0.9858304212849899,-3.1311005272827,4.11693094856769,9
Victor Oladipo,2020,0.9858304212849899,-3.1311005272827,4.11693094856769,9
Victor Oladipo,2020,0.9858304212849899,-3.1311005272827,4.11693094856769,9
Victor Oladipo,2020,0.9858304212849899,-3.1311005272827,4.11693094856769,20
Paul George,2021,4.003284221791089,-3.6637681993717197,7.6670524211628095,31
LeBron James,2021,4.00132694664998,-3.2869168008509195,7.2882437475009,56
Kevin Durant,2021,5.18095142499506,-1.4085924561062,6.58954388110126,55
Giannis Antetokounmpo,2021,1.5354795087328401,-4.68209804775052,6.21757755648336,67
Stephen Curry,2021,5.11387089628622,-0.5617648241020899,5.67563572038831,64
Rudy Gobert,2021,1.27001799598692,-4.39884442742134,5.668862423408259,66
Joel Embiid,2021,2.27626948220829,-3.2216878193579803,5.49795730156627,68
Chris Paul,2021,2.4589389701302498,-2.96746750158153,5.42640647171178,65
Alex Caruso,2021,0.6985047733345999,-4.55515040138295,5.25365517471755,41
Jayson Tatum,2021,3.06636675228759,-2.1795545567871897,5.245921309074779,76
Damian Lillard,2021,5.63924052443816,1.0049980771567,4.634242447281459,29
Jimmy Butler,2021,2.84793402276929,-1.54352083317622,4.3914548559455095,57
George Hill,2021,1.41452105164075,-2.68213751376196,4.09665856540271,54
James Harden,2021,4.88574725564329,0.83469642914715,4.05105082649614,21
James Harden,2021,4.88574725564329,0.83469642914715,4.05105082649614,21
James Harden,2021,4.88574725564329,0.83469642914715,4.05105082649614,44
James Harden,2021,4.88574725564329,0.83469642914715,4.05105082649614,44
Jrue Holiday,2021,3.18510677188078,-0.81774433312068,4.00285110500146,67
Pascal Siakam,2021,1.92598246737894,-2.06363702839323,3.9896194957721702,68
Danny Green,2021,3.5027876371399,-0.37733477029512996,3.88012240743503,62
