name,age,team_name,position,pos_category,o_rapm,d_rapm,total_rapm,games,off_poss,tier,tier_name,tier_color,proj_1yr,proj_3yr,proj_5yr,tier_1yr,tier_3yr,tier_5yr,tier_change_1yr,tier_change_3yr,tier_change_5yr
Jarace Walker,21.16084873374401,IND,0,forward,0.60256247821317,0.1194319721906699,0.4831305060225,71,722,4,Quality Starter,#4169E1,0.7831305060225001,1.3831305060225,1.9831305060225004,4,3,3,0,1,1
Amen Thompson,21.75496235455168,HOU,0,combo,-0.13627612498657,-0.56568742138296,0.42941129639639,69,2880,4,Quality Starter,#4169E1,0.72941129639639,1.32941129639639,1.92941129639639,4,3,3,0,1,1
Josh Minott,21.9356605065024,MIN,0,wing,0.7146760244170299,0.3101322968077299,0.4045437276092999,33,216,4,Quality Starter,#4169E1,0.7045437276093,1.3045437276093002,1.9045437276093002,4,3,3,0,1,1
Tristan Vukcevic,21.6454483230664,WAS,0,big,-0.69494439671004,-0.94131317651575,0.2463687798057099,28,327,4,Quality Starter,#4169E1,0.54636877980571,1.1463687798057098,1.74636877980571,4,3,3,0,1,1
Cason Wallace,20.985626283367555,OKC,0,combo,-0.77314108797542,-0.8784367035970501,0.10529561562163,68,3477,4,Quality Starter,#4169E1,0.40529561562163,1.00529561562163,1.60529561562163,4,3,3,0,1,1
Matisse Thybulle,27.66324435318275,POR,0,wing,-2.09824582570285,-2.0589858311365403,-0.0392599945663096,15,2944,5,Rotation Player,#32CD32,0.768061799065477,0.2684724766835469,-0.27152752331645225,4,4,5,1,1,0
Jalen Duren,20.955509924709105,DET,0,big,0.05480947999845,0.19323712075736,-0.1384276407589099,78,3643,5,Rotation Player,#32CD32,0.06469905094389466,0.6646990509438946,1.2646990509438947,4,4,3,1,1,2
Dorian Finney-Smith,31.49623545516769,LAL,0,wing,-0.03282043040596,-0.70015097202515,0.6673305416191899,43,3700,4,Quality Starter,#4169E1,1.5857654904209413,1.0457654904209415,0.5057654904209413,3,3,4,1,1,0
Dalen Terry,22.308008213552363,CHI,0,wing,0.24816831193722,0.53848030629829,-0.29031199436107,71,1359,5,Rotation Player,#32CD32,-0.3240202218241327,0.2759797781758673,0.8297785461430129,5,4,4,0,1,1
Nikola Jovic,21.399041752224505,MIA,0,big,-0.13089208000436,0.28522441970756,-0.41611649971192,46,1790,5,Rotation Player,#32CD32,-0.5246117788055351,0.07538822119446476,0.6753882211944648,5,4,4,0,1,1
Ausar Thompson,21.75496235455168,DET,0,wing,-1.0819844556047,-0.64982820948858,-0.43215624611612,59,3231,5,Rotation Player,#32CD32,-0.13215624611611998,0.4678437538838799,1.06784375388388,5,4,3,0,1,2
Miles McBride,24.147843942505133,NYK,0,combo,-0.72287746168412,-0.28638241705465,-0.43649504462947,64,2564,5,Rotation Player,#32CD32,0.8890710841805457,0.8668944928047757,0.5491532197041598,4,4,4,1,1,1
Jordan Walsh,20.6652977412731,BOS,0,wing,-1.13603208255622,-0.6123447090008,-0.52368737355542,37,165,5,Rotation Player,#32CD32,-0.22368737355542,0.37631262644457986,0.97631262644458,5,4,4,0,1,1
Colby Jones,22.431211498973305,WAS,0,wing,-0.86122569158045,-0.19918652020485,-0.6620391713756,13,390,5,Rotation Player,#32CD32,-0.3620391713756001,0.23796082862439977,0.7732791037784041,5,4,4,0,1,1
Josh Green,23.95893223819301,CHA,0,wing,0.47999409120826,1.26154981783815,-0.7815557266298898,68,3034,5,Rotation Player,#32CD32,0.0065513805368498995,0.0065513805368498995,-0.2872884551921017,4,4,5,1,1,0
Cam Whitmore,20.317590691307323,HOU,0,wing,-0.42604388833975,0.4257475555158599,-0.85179144385561,45,1853,5,Rotation Player,#32CD32,-0.55179144385561,0.0482085561443899,0.64820855614439,5,4,4,0,1,1
Evan Mobley,23.37303216974675,CLE,0,big,-2.79603142770386,-1.92261094959018,-0.8734204781136801,71,3130,5,Rotation Player,#32CD32,0.7287069982970162,0.7287069982970162,0.5227521728350037,4,4,4,1,1,1
Jaden Springer,22.102669404517453,UTA,0,combo,-0.1964277062726599,0.87995588372766,-1.07638359000032,17,1025,5,Rotation Player,#32CD32,-0.5409816977600981,0.0590183022399019,0.643617891562284,5,4,4,0,1,1
