name,season,o_rapm,d_rapm,total_rapm,my_o_rapm,my_d_rapm,my_total_rapm,poss,games
Nikola Vucevic,2014,-1.04757911802634,0.13557380332750998,-1.18315292135385,-56.19496834824479,25.15356823298209,-81.34853658122688,3542,74
James Harden,2014,4.90956624936282,2.21605702646872,2.6935092228941,237.6564521146089,120.2564427281027,117.4000093865062,5598,81
Joakim Noah,2014,0.6741312865775501,-1.84586795081585,2.5199992373934,-96.37939443693524,-222.22533920184188,125.84594476490663,5263,67
Steven Adams,2014,-1.13002109349274,1.45569800546135,-2.58571909895409,-196.23349632896537,71.75243052873898,-267.9859268577044,2353,70
Derrick Rose,2014,2.66109126109298,-0.34458331522766,3.00567457632064,-19.80452842893867,107.71066815290693,-127.5151965818456,605,51
Glen Davis,2014,-1.9260329795842,-0.24147513191786,-1.6845578476663399,-174.05774303449985,-162.63822291570463,-11.41952011879522,3205,73
Jon Leuer,2014,-0.8153036750393101,1.56537785556647,-2.38068153060578,-103.70180713323165,181.0230734077317,-284.72488054096334,1219,60
Kentavious Caldwell-Pope,2014,-0.65708971799131,-0.87788917867014,0.22079946067883005,91.0212396493324,-91.8266757496503,182.8479153989827,3136,82
Cory Joseph,2014,-0.40091034104279,1.51754570123126,-1.91845604227405,-45.49448191921465,32.0152908021422,-77.50977272135685,1844,73
Maurice Harkless,2014,-3.07313635659624,3.28366015413002,-6.3567965107262605,-179.21745204202224,71.87296087500296,-251.09041291702522,3790,44
Al Horford,2014,0.33333902389392,0.21701291379475,0.11632611009917002,95.42076354039806,-33.43534339885606,128.85610693925412,1900,76
Isaiah Canaan,2014,-0.51895190131967,1.5708719733498098,-2.08982387466948,-14.750088246908549,-18.560875967387318,3.8107877204787695,534,18
Isaiah Canaan,2014,-0.51895190131967,1.5708719733498098,-2.08982387466948,-14.750088246908549,-18.560875967387318,3.8107877204787695,534,18
Isaiah Canaan,2014,-0.51895190131967,1.5708719733498098,-2.08982387466948,-14.750088246908549,-18.560875967387318,3.8107877204787695,534,22
Isaiah Canaan,2014,-0.51895190131967,1.5708719733498098,-2.08982387466948,-14.750088246908549,-18.560875967387318,3.8107877204787695,534,22
Bismack Biyombo,2014,-1.64070069088771,2.28714636762493,-3.92784705851264,-43.6731974402073,-23.73406406897276,-19.939133371234544,2006,64
Joel Freeland,2014,-1.7351766442939902,0.69671593046847,-2.4318925747624602,-207.63444256546842,-135.76326753380783,-71.87117503166058,1417,44
